concept,method,prompt_idx,prompt,t2i,i2i
actionfigure_2,ti,0,photo of a action figure.,0.2287,0.4486
actionfigure_2,ti,1,"The action figure, surrounded by towering skyscrapers.",0.3005,0.4228
actionfigure_2,ti,2,"The action figure stands atop a snowy mountain peak, overlooking a vast icy landscape.",0.338,0.4229
actionfigure_2,ti,3,In a lush forest stands action figure.,0.2415,0.3498
actionfigure_2,ti,4,action figure in times square.,0.252,0.422
actionfigure_2,ti,5,"action figure on a sandy beach, with waves in the background.",0.276,0.3549
actionfigure_2,ti,6,action figure riding a motorcycle.,0.275,0.4032
actionfigure_2,ti,7,action figure riding a flying broom.,0.2936,0.4686
actionfigure_2,ti,8,action figure holding a futuristic energy sword.,0.3042,0.522
actionfigure_2,ti,9,The action figure rides a majestic dragon.,0.2695,0.4714
actionfigure_2,lora,0,photo of a action figure.,0.2751,0.8246
actionfigure_2,lora,1,"The action figure, surrounded by towering skyscrapers.",0.296,0.7357
actionfigure_2,lora,2,"The action figure stands atop a snowy mountain peak, overlooking a vast icy landscape.",0.3551,0.6131
actionfigure_2,lora,3,In a lush forest stands action figure.,0.3193,0.7275
actionfigure_2,lora,4,action figure in times square.,0.2928,0.679
actionfigure_2,lora,5,"action figure on a sandy beach, with waves in the background.",0.3372,0.6424
actionfigure_2,lora,6,action figure riding a motorcycle.,0.3257,0.7465
actionfigure_2,lora,7,action figure riding a flying broom.,0.3063,0.7344
actionfigure_2,lora,8,action figure holding a futuristic energy sword.,0.3063,0.7721
actionfigure_2,lora,9,The action figure rides a majestic dragon.,0.2988,0.599
actionfigure_2,dora,0,photo of a action figure.,0.2824,0.8071
actionfigure_2,dora,1,"The action figure, surrounded by towering skyscrapers.",0.2834,0.6859
actionfigure_2,dora,2,"The action figure stands atop a snowy mountain peak, overlooking a vast icy landscape.",0.3305,0.3399
actionfigure_2,dora,3,In a lush forest stands action figure.,0.3307,0.698
actionfigure_2,dora,4,action figure in times square.,0.2776,0.7125
actionfigure_2,dora,5,"action figure on a sandy beach, with waves in the background.",0.3464,0.6781
actionfigure_2,dora,6,action figure riding a motorcycle.,0.3563,0.5991
actionfigure_2,dora,7,action figure riding a flying broom.,0.305,0.7788
actionfigure_2,dora,8,action figure holding a futuristic energy sword.,0.301,0.78
actionfigure_2,dora,9,The action figure rides a majestic dragon.,0.264,0.6091
decoritems_woodenpot,ti,0,Photo of a wooden pot.,0.2144,0.5312
decoritems_woodenpot,ti,1,wooden pot in grand canyon.,0.2854,0.5025
decoritems_woodenpot,ti,2,wooden pot with mountains and sunset in the background.,0.2726,0.4835
decoritems_woodenpot,ti,3,wooden pot floating in a pool.,0.2822,0.477
decoritems_woodenpot,ti,4,A wide shot of wooden pot in times square.,0.2982,0.4115
decoritems_woodenpot,ti,5,wooden pot and chocolate cake on a table.,0.2792,0.4766
decoritems_woodenpot,ti,6,Rose flowers in wooden pot on a table.,0.3003,0.5593
decoritems_woodenpot,ti,7,Marigold flowers in the wooden pot.,0.307,0.5656
decoritems_woodenpot,ti,8,The wooden pot at the entrance to a medieval castle.,0.2865,0.4412
decoritems_woodenpot,ti,9,wooden pot with pens in it.,0.238,0.5481
decoritems_woodenpot,lora,0,Photo of a wooden pot.,0.3271,0.8522
decoritems_woodenpot,lora,1,wooden pot in grand canyon.,0.3912,0.702
decoritems_woodenpot,lora,2,wooden pot with mountains and sunset in the background.,0.4177,0.6924
decoritems_woodenpot,lora,3,wooden pot floating in a pool.,0.3417,0.7636
decoritems_woodenpot,lora,4,A wide shot of wooden pot in times square.,0.4268,0.6696
decoritems_woodenpot,lora,5,wooden pot and chocolate cake on a table.,0.2773,0.7681
decoritems_woodenpot,lora,6,Rose flowers in wooden pot on a table.,0.2993,0.6202
decoritems_woodenpot,lora,7,Marigold flowers in the wooden pot.,0.3343,0.6363
decoritems_woodenpot,lora,8,The wooden pot at the entrance to a medieval castle.,0.3524,0.6412
decoritems_woodenpot,lora,9,wooden pot with pens in it.,0.361,0.7763
decoritems_woodenpot,dora,0,Photo of a wooden pot.,0.3192,0.8757
decoritems_woodenpot,dora,1,wooden pot in grand canyon.,0.3671,0.6906
decoritems_woodenpot,dora,2,wooden pot with mountains and sunset in the background.,0.3912,0.6821
decoritems_woodenpot,dora,3,wooden pot floating in a pool.,0.3469,0.7597
decoritems_woodenpot,dora,4,A wide shot of wooden pot in times square.,0.4386,0.6613
decoritems_woodenpot,dora,5,wooden pot and chocolate cake on a table.,0.3077,0.7755
decoritems_woodenpot,dora,6,Rose flowers in wooden pot on a table.,0.317,0.7095
decoritems_woodenpot,dora,7,Marigold flowers in the wooden pot.,0.357,0.6308
decoritems_woodenpot,dora,8,The wooden pot at the entrance to a medieval castle.,0.3169,0.7873
decoritems_woodenpot,dora,9,wooden pot with pens in it.,0.3545,0.7917
furniture_sofa2,ti,0,Photo of a sofa.,0.2548,0.6683
furniture_sofa2,ti,1,sofa near a pool.,0.2741,0.7539
furniture_sofa2,ti,2,sofa at a beach with a view of the seashore.,0.2609,0.6204
furniture_sofa2,ti,3,sofa in a garden.,0.2571,0.6308
furniture_sofa2,ti,4,sofa in grand canyon.,0.2609,0.5645
