concept,method,prompt_idx,prompt,t2i,i2i,dino
actionfigure_2,lora_zwx,0,photo of a action figure.,0.2745,0.8387,0.6057
actionfigure_2,lora_zwx,1,"The action figure, surrounded by towering skyscrapers.",0.2986,0.8124,0.6168
actionfigure_2,lora_zwx,2,"The action figure stands atop a snowy mountain peak, overlooking a vast icy landscape.",0.359,0.6958,0.4687
actionfigure_2,lora_zwx,3,In a lush forest stands action figure.,0.352,0.793,0.5863
actionfigure_2,lora_zwx,4,action figure in times square.,0.305,0.7791,0.6297
actionfigure_2,lora_zwx,5,"action figure on a sandy beach, with waves in the background.",0.3409,0.7272,0.6111
actionfigure_2,lora_zwx,6,action figure riding a motorcycle.,0.336,0.7037,0.4231
actionfigure_2,lora_zwx,7,action figure riding a flying broom.,0.3207,0.7483,0.4909
actionfigure_2,lora_zwx,8,action figure holding a futuristic energy sword.,0.3126,0.7816,0.4905
actionfigure_2,lora_zwx,9,The action figure rides a majestic dragon.,0.3327,0.5968,0.3181
actionfigure_2,dora_zwx,0,photo of a action figure.,0.2646,0.829,0.6708
actionfigure_2,dora_zwx,1,"The action figure, surrounded by towering skyscrapers.",0.3054,0.7896,0.6221
actionfigure_2,dora_zwx,2,"The action figure stands atop a snowy mountain peak, overlooking a vast icy landscape.",0.361,0.5851,0.3832
actionfigure_2,dora_zwx,3,In a lush forest stands action figure.,0.3457,0.7702,0.5563
actionfigure_2,dora_zwx,4,action figure in times square.,0.2867,0.7467,0.5677
actionfigure_2,dora_zwx,5,"action figure on a sandy beach, with waves in the background.",0.3403,0.6751,0.4968
actionfigure_2,dora_zwx,6,action figure riding a motorcycle.,0.338,0.6366,0.4507
actionfigure_2,dora_zwx,7,action figure riding a flying broom.,0.3231,0.7658,0.5041
actionfigure_2,dora_zwx,8,action figure holding a futuristic energy sword.,0.3063,0.7564,0.4713
actionfigure_2,dora_zwx,9,The action figure rides a majestic dragon.,0.316,0.5415,0.268
decoritems_woodenpot,lora_zwx,0,Photo of a wooden pot.,0.3273,0.86,0.5888
decoritems_woodenpot,lora_zwx,1,wooden pot in grand canyon.,0.3799,0.6833,0.5552
decoritems_woodenpot,lora_zwx,2,wooden pot with mountains and sunset in the background.,0.423,0.7394,0.5693
decoritems_woodenpot,lora_zwx,3,wooden pot floating in a pool.,0.3656,0.7942,0.5322
decoritems_woodenpot,lora_zwx,4,A wide shot of wooden pot in times square.,0.4072,0.6342,0.5348
decoritems_woodenpot,lora_zwx,5,wooden pot and chocolate cake on a table.,0.3083,0.8213,0.5026
decoritems_woodenpot,lora_zwx,6,Rose flowers in wooden pot on a table.,0.361,0.7071,0.3306
decoritems_woodenpot,lora_zwx,7,Marigold flowers in the wooden pot.,0.3317,0.6288,0.1989
decoritems_woodenpot,lora_zwx,8,The wooden pot at the entrance to a medieval castle.,0.3445,0.6821,0.5219
decoritems_woodenpot,lora_zwx,9,wooden pot with pens in it.,0.3589,0.7963,0.4464
decoritems_woodenpot,dora_zwx,0,Photo of a wooden pot.,0.3244,0.8632,0.6095
decoritems_woodenpot,dora_zwx,1,wooden pot in grand canyon.,0.3688,0.6712,0.5439
decoritems_woodenpot,dora_zwx,2,wooden pot with mountains and sunset in the background.,0.4133,0.7245,0.5921
decoritems_woodenpot,dora_zwx,3,wooden pot floating in a pool.,0.347,0.739,0.5421
decoritems_woodenpot,dora_zwx,4,A wide shot of wooden pot in times square.,0.4095,0.6608,0.5577
decoritems_woodenpot,dora_zwx,5,wooden pot and chocolate cake on a table.,0.3229,0.797,0.4814
decoritems_woodenpot,dora_zwx,6,Rose flowers in wooden pot on a table.,0.3701,0.6935,0.4304
decoritems_woodenpot,dora_zwx,7,Marigold flowers in the wooden pot.,0.3629,0.6243,0.1629
decoritems_woodenpot,dora_zwx,8,The wooden pot at the entrance to a medieval castle.,0.335,0.6745,0.5782
decoritems_woodenpot,dora_zwx,9,wooden pot with pens in it.,0.3591,0.8273,0.4526
furniture_sofa2,lora_zwx,0,Photo of a sofa.,0.3037,0.8857,0.612
furniture_sofa2,lora_zwx,1,sofa near a pool.,0.3173,0.8141,0.4913
furniture_sofa2,lora_zwx,2,sofa at a beach with a view of the seashore.,0.3248,0.7552,0.4428
furniture_sofa2,lora_zwx,3,sofa in a garden.,0.3254,0.8395,0.6298
furniture_sofa2,lora_zwx,4,sofa in grand canyon.,0.3664,0.6821,0.5311
furniture_sofa2,lora_zwx,5,sofa in front of a medieval castle.,0.3645,0.7062,0.5342
furniture_sofa2,lora_zwx,6,sofa and a coffee table.,0.299,0.8846,0.6627
furniture_sofa2,lora_zwx,7,floor lamp on the side of sofa.,0.2808,0.9113,0.6854
furniture_sofa2,lora_zwx,8,sofa and an orange sofa.,0.3115,0.886,0.6054
furniture_sofa2,lora_zwx,9,sofa and a table with chocolate cake on it.,0.3195,0.8795,0.5492
furniture_sofa2,dora_zwx,0,Photo of a sofa.,0.3065,0.8984,0.6737
furniture_sofa2,dora_zwx,1,sofa near a pool.,0.3261,0.8293,0.5249
furniture_sofa2,dora_zwx,2,sofa at a beach with a view of the seashore.,0.3227,0.7896,0.5656
furniture_sofa2,dora_zwx,3,sofa in a garden.,0.3123,0.7942,0.5053
furniture_sofa2,dora_zwx,4,sofa in grand canyon.,0.3819,0.7338,0.4533
furniture_sofa2,dora_zwx,5,sofa in front of a medieval castle.,0.3836,0.7435,0.4469
furniture_sofa2,dora_zwx,6,sofa and a coffee table.,0.2873,0.9016,0.5337
furniture_sofa2,dora_zwx,7,floor lamp on the side of sofa.,0.2915,0.92,0.6756
furniture_sofa2,dora_zwx,8,sofa and an orange sofa.,0.3286,0.8797,0.6518
furniture_sofa2,dora_zwx,9,sofa and a table with chocolate cake on it.,0.3342,0.8066,0.5286
instrument_music2,lora_zwx,0,photo of a guitar.,0.3184,0.8563,0.7264
instrument_music2,lora_zwx,1,A guitar resting against a rustic wall.,0.3284,0.8397,0.7202
instrument_music2,lora_zwx,2,A guitar glowing under the disco lights.,0.3708,0.8313,0.7236
instrument_music2,lora_zwx,3,A guitar at display in a music shop.,0.3341,0.7605,0.6555
instrument_music2,lora_zwx,4,A guitar resting on the sandy ocean floor with a turtle swimming by.,0.3865,0.7118,0.5372
instrument_music2,lora_zwx,5,A cardinal is sitting beside the guitar.,0.3618,0.6796,0.6841
instrument_music2,lora_zwx,6,C-3PO playing with the guitar.,0.389,0.7232,0.2789
instrument_music2,lora_zwx,7,guitar beside a towering redwood tree.,0.4068,0.7369,0.5895
instrument_music2,lora_zwx,8,"A neon guitar in a rainy, Blade Runner-style cityscape.",0.4246,0.7096,0.5962
instrument_music2,lora_zwx,9,"A vintage guitar at a train station, a suitcase lying next to it.",0.3798,0.7652,0.6685
instrument_music2,dora_zwx,0,photo of a guitar.,0.3071,0.8331,0.6955
instrument_music2,dora_zwx,1,A guitar resting against a rustic wall.,0.3472,0.8361,0.7013
instrument_music2,dora_zwx,2,A guitar glowing under the disco lights.,0.3866,0.8466,0.6657
instrument_music2,dora_zwx,3,A guitar at display in a music shop.,0.3331,0.8264,0.7485
instrument_music2,dora_zwx,4,A guitar resting on the sandy ocean floor with a turtle swimming by.,0.3875,0.6763,0.4092
instrument_music2,dora_zwx,5,A cardinal is sitting beside the guitar.,0.352,0.6874,0.6938
instrument_music2,dora_zwx,6,C-3PO playing with the guitar.,0.3786,0.7266,0.212
instrument_music2,dora_zwx,7,guitar beside a towering redwood tree.,0.3805,0.7428,0.4854
instrument_music2,dora_zwx,8,"A neon guitar in a rainy, Blade Runner-style cityscape.",0.4305,0.6773,0.4168
instrument_music2,dora_zwx,9,"A vintage guitar at a train station, a suitcase lying next to it.",0.351,0.7477,0.6919
luggage_backpack1,lora_zwx,0,photo of a backpack.,0.3144,0.8079,0.5287
luggage_backpack1,lora_zwx,1,backpack on a rustic wooden dock overlooking a peaceful lake.,0.3191,0.8516,0.5969
luggage_backpack1,lora_zwx,2,backpack on a café table with a steaming cup of coffee nearby.,0.3086,0.8369,0.649
luggage_backpack1,lora_zwx,3,A backpack on a trail in a pine forest.,0.339,0.7806,0.5099
luggage_backpack1,lora_zwx,4,A backpack on a bicycle parked in a tulip field.,0.4339,0.6733,0.3086
luggage_backpack1,lora_zwx,5,backpack on the glass table of a high-rise penthouse overlooking a stunning city skyline.,0.3683,0.7907,0.4526
luggage_backpack1,lora_zwx,6,A backpack with the night sky.,0.3511,0.7468,0.5066
luggage_backpack1,lora_zwx,7,A backpack lying beside a bookshelf in a study room.,0.3237,0.8409,0.4665
luggage_backpack1,lora_zwx,8,A person is walking with backpack in hand.,0.3063,0.8297,0.5767
luggage_backpack1,lora_zwx,9,A cat is looking from inside the backpack.,0.3311,0.6808,0.1058
luggage_backpack1,dora_zwx,0,photo of a backpack.,0.3026,0.8202,0.601
luggage_backpack1,dora_zwx,1,backpack on a rustic wooden dock overlooking a peaceful lake.,0.3301,0.8446,0.5418
luggage_backpack1,dora_zwx,2,backpack on a café table with a steaming cup of coffee nearby.,0.3108,0.8333,0.6275
luggage_backpack1,dora_zwx,3,A backpack on a trail in a pine forest.,0.3334,0.7937,0.5818
luggage_backpack1,dora_zwx,4,A backpack on a bicycle parked in a tulip field.,0.3962,0.7434,0.3731
luggage_backpack1,dora_zwx,5,backpack on the glass table of a high-rise penthouse overlooking a stunning city skyline.,0.3724,0.8407,0.569
luggage_backpack1,dora_zwx,6,A backpack with the night sky.,0.3472,0.6788,0.4996
luggage_backpack1,dora_zwx,7,A backpack lying beside a bookshelf in a study room.,0.3007,0.8284,0.5252
luggage_backpack1,dora_zwx,8,A person is walking with backpack in hand.,0.2989,0.8852,0.5672
luggage_backpack1,dora_zwx,9,A cat is looking from inside the backpack.,0.3307,0.6354,0.1097
person_3,lora_zwx,0,photo of a person.,0.2598,0.6543,0.4664
person_3,lora_zwx,1,person selfie standing under the pink blossoms of a cherry tree.,0.3791,0.6588,0.4012
person_3,lora_zwx,2,"person in a chef's outfit, cooking in a kitchen.",0.3025,0.4845,0.3167
person_3,lora_zwx,3,person paddling a canoe on a tranquil lake.,0.3289,0.5677,0.0935
person_3,lora_zwx,4,person playing with their pet dog.,0.31,0.486,0.1849
person_3,lora_zwx,5,Photo of person taking a shot in basketball.,0.2866,0.4065,0.0357
person_3,lora_zwx,6,person selfie with eiffel tower in the background.,0.342,0.6838,0.4332
