concept,method,prompt_idx,prompt,t2i,i2i,dino
actionfigure_2,ti,0,photo of a action figure.,0.2696,0.5153,0.3124
actionfigure_2,ti,1,"The action figure, surrounded by towering skyscrapers.",0.3098,0.4283,0.0565
actionfigure_2,ti,2,"The action figure stands atop a snowy mountain peak, overlooking a vast icy landscape.",0.3174,0.4078,0.1553
actionfigure_2,ti,3,In a lush forest stands action figure.,0.2609,0.3672,0.0127
actionfigure_2,ti,4,action figure in times square.,0.233,0.4203,0.1052
actionfigure_2,ti,5,"action figure on a sandy beach, with waves in the background.",0.2876,0.4013,0.1617
actionfigure_2,ti,6,action figure riding a motorcycle.,0.2701,0.3497,0.2637
actionfigure_2,ti,7,action figure riding a flying broom.,0.3088,0.4782,0.1534
actionfigure_2,ti,8,action figure holding a futuristic energy sword.,0.3028,0.4601,0.2044
actionfigure_2,ti,9,The action figure rides a majestic dragon.,0.2776,0.4878,0.1847
actionfigure_2,lora,0,photo of a action figure.,0.3018,0.7905,0.4697
actionfigure_2,lora,1,"The action figure, surrounded by towering skyscrapers.",0.3072,0.7159,0.5987
actionfigure_2,lora,2,"The action figure stands atop a snowy mountain peak, overlooking a vast icy landscape.",0.3507,0.438,0.2845
actionfigure_2,lora,3,In a lush forest stands action figure.,0.3357,0.643,0.302
actionfigure_2,lora,4,action figure in times square.,0.3162,0.5912,0.501
actionfigure_2,lora,5,"action figure on a sandy beach, with waves in the background.",0.3412,0.6849,0.5391
actionfigure_2,lora,6,action figure riding a motorcycle.,0.3571,0.606,0.3932
actionfigure_2,lora,7,action figure riding a flying broom.,0.3024,0.8339,0.4922
actionfigure_2,lora,8,action figure holding a futuristic energy sword.,0.3089,0.7512,0.4641
actionfigure_2,lora,9,The action figure rides a majestic dragon.,0.3259,0.626,0.2638
actionfigure_2,dora,0,photo of a action figure.,0.2796,0.7508,0.5032
actionfigure_2,dora,1,"The action figure, surrounded by towering skyscrapers.",0.2945,0.7311,0.5374
actionfigure_2,dora,2,"The action figure stands atop a snowy mountain peak, overlooking a vast icy landscape.",0.3682,0.555,0.4559
actionfigure_2,dora,3,In a lush forest stands action figure.,0.3391,0.7504,0.4873
actionfigure_2,dora,4,action figure in times square.,0.3036,0.6565,0.571
actionfigure_2,dora,5,"action figure on a sandy beach, with waves in the background.",0.3396,0.6353,0.4451
actionfigure_2,dora,6,action figure riding a motorcycle.,0.3537,0.6473,0.4501
actionfigure_2,dora,7,action figure riding a flying broom.,0.3071,0.8079,0.5371
actionfigure_2,dora,8,action figure holding a futuristic energy sword.,0.3082,0.7831,0.5625
actionfigure_2,dora,9,The action figure rides a majestic dragon.,0.2255,0.5805,0.3571
actionfigure_2,lora_prior,0,photo of a action figure.,0.3078,0.5206,0.2889
actionfigure_2,lora_prior,1,"The action figure, surrounded by towering skyscrapers.",0.3444,0.5885,0.2895
actionfigure_2,lora_prior,2,"The action figure stands atop a snowy mountain peak, overlooking a vast icy landscape.",0.3628,0.4363,0.2386
actionfigure_2,lora_prior,3,In a lush forest stands action figure.,0.3459,0.5468,0.1733
actionfigure_2,lora_prior,4,action figure in times square.,0.3438,0.4776,0.2965
actionfigure_2,lora_prior,5,"action figure on a sandy beach, with waves in the background.",0.3731,0.4752,0.2677
actionfigure_2,lora_prior,6,action figure riding a motorcycle.,0.3488,0.5709,0.3058
actionfigure_2,lora_prior,7,action figure riding a flying broom.,0.3235,0.6438,0.388
actionfigure_2,lora_prior,8,action figure holding a futuristic energy sword.,0.3424,0.6209,0.3475
actionfigure_2,lora_prior,9,The action figure rides a majestic dragon.,0.3382,0.5494,0.335
actionfigure_2,dora_prior,0,photo of a action figure.,0.2972,0.6037,0.3111
actionfigure_2,dora_prior,1,"The action figure, surrounded by towering skyscrapers.",0.3384,0.4929,0.3392
actionfigure_2,dora_prior,2,"The action figure stands atop a snowy mountain peak, overlooking a vast icy landscape.",0.3647,0.428,0.2191
actionfigure_2,dora_prior,3,In a lush forest stands action figure.,0.3436,0.5433,0.1741
actionfigure_2,dora_prior,4,action figure in times square.,0.3434,0.5464,0.2037
actionfigure_2,dora_prior,5,"action figure on a sandy beach, with waves in the background.",0.3825,0.4536,0.2631
actionfigure_2,dora_prior,6,action figure riding a motorcycle.,0.3278,0.4667,0.2717
actionfigure_2,dora_prior,7,action figure riding a flying broom.,0.3443,0.6837,0.3155
actionfigure_2,dora_prior,8,action figure holding a futuristic energy sword.,0.3422,0.6098,0.2731
actionfigure_2,dora_prior,9,The action figure rides a majestic dragon.,0.3491,0.6013,0.274
decoritems_woodenpot,ti,0,Photo of a wooden pot.,0.2484,0.6114,0.2107
decoritems_woodenpot,ti,1,wooden pot in grand canyon.,0.2775,0.4763,0.0958
decoritems_woodenpot,ti,2,wooden pot with mountains and sunset in the background.,0.2731,0.5224,0.0315
decoritems_woodenpot,ti,3,wooden pot floating in a pool.,0.2681,0.4331,0.0557
decoritems_woodenpot,ti,4,A wide shot of wooden pot in times square.,0.2597,0.4671,0.0182
decoritems_woodenpot,ti,5,wooden pot and chocolate cake on a table.,0.2842,0.4774,0.2873
decoritems_woodenpot,ti,6,Rose flowers in wooden pot on a table.,0.3183,0.5857,0.229
decoritems_woodenpot,ti,7,Marigold flowers in the wooden pot.,0.2879,0.5636,0.1065
